HARMFUL_SK,HARMFUL_DESCRIPTIONS,HARMFUL_CODES
80c42cdba55d859e15482e351bdf3147,UNKNOWN,UNKNOWN
1d0acd4f0a400618812b2b40363a308e,MOTOR VEHICLE IN TRANSPORT,12
9b521a8d7bae6bb21a7dd6d3ba8fdf37,CULVERT,32
60ffeb196d797a6cf6a3bf90bae98d08,Motor Vehicle-In-Motion Outside Trafficw,55
d22fdcf8294c0cf934ffc37afe298758,GUARDRAIL FACE,1;24
fbf44bfc4c56ac048deb77790e014f66,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE,12;30
76f17fb6a7576ed66b6db31c5c339684,UNKNOWN MOST HARMFUL EVENT,99
57c3d655b1c34b538ab9aabec2145ea8,UTILITY POLE,30
f0275ebd28881d2ac2dacf52e607748c,FENCE,38
48cc9232e29471e83beffb16bf34bbe8,OTHER OBJECT (NOT FIXED),18
b156c90c7ac3ead5ccdd31c3074cf038,Ran Off Road-Left,1;64
def989d312873b36c1b598e329d28a33,TREE;Ran Off Road-Right,42;63
13092a0dd12f8d31500ba27f77f9005a,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY,13
a9378a6a3fe6f894139d86241d88f6ab,PARKED MOTOR VEHICLE,14
b36c4bdb4ae5a0a58be263f4fdacad4d,CULVERT;DITCH,32;34
010ac17778a71e0d2cc85127e6522dbb,GUARDRAIL FACE,24
43378c3f026a09ca8504d81dc30b14f4,DEER (ANIMAL),50
bccb0c699127e4982d5fd6efebe4ab3c,MAIL BOX,40
2d2b60da098deb51b8be636568f2c9f2,UNKNOWN,7
af3e89f396a051e784438e80bb7538ac,DITCH;MAIL BOX,34;40
c47e2a54e462ca9e6e554fe1e996fc39,TREE,42
f2e18a2f135fe53bd93cf121943a792e,CULVERT;MAIL BOX,32;40
70ea070fd0b3cd73887856cb24bfe321,MOTOR VEHICLE IN TRANSPORT;MAIL BOX,12;40
3c0237aca22d1f28537a3d7b1cc9aeff,THROWN OR FALLING OBJECT;LUMINAIRE/LIGHT SUPPORT;EMBANKMENT ROCK/STONE/CONCRETE,16;29;72
92649adc9277e631d262a4e10b2c4be0,MOTOR VEHICLE IN TRANSPORT;CURB;Ran Off Road-Right,12;33;63
70ecdd3131792273e4836e963029f2e9,H-WAY TRAFFIC SIGNAL POST;EMBANKMENT ROCK/STONE/CONCRETE,27;72
6c6ec1a2949be07c36431234eaf19bd0,MOTOR VEHICLE IN TRANSPORT;WALL,12;39
11f1f11ec71107ac8157bd043bea0e95,PARKED MOTOR VEHICLE;BUILDING;Ran Off Road-Left,14;19;64
15b3868c7c4e08532a0617c17d6fcfc6,OTHER FIXED OBJECTS,43
c64a38ab7b8f6eecbd8161f6362c9fbc,LUMINAIRE/LIGHT SUPPORT,29
8f1d7b56c3e4e7ead520edcc353840aa,FENCE;SHRUBBERY,38;41
bde200de781032abf76a49911bead25a,UNKNOWN,1
91017e99ad9bea652b9ae32d2cb73947,DITCH;Ran Off Road-Right,34;63
91c4737f06dfeb604c10e16a63083a73,OTHER OBJECT (NOT FIXED);FENCE,18;38
434531b6ef9d2ad38a3526ce7a8d8711,MOTOR VEHICLE IN TRANSPORT;OTHER OBJECT (NOT FIXED);Cross Center Line,12;18;68
ec30881564a1dcb430d252f4b7afabf8,MOTOR VEHICLE IN TRANSPORT;UNKNOWN MOST HARMFUL EVENT,12;99
1f52e0916bea7da35b9b0b93b68689a7,RAILWAY TRAIN;FENCE,10;38
a2fc9c0a23d52805ee685b6c467bb655,PARKED MOTOR VEHICLE,14;7
108f4a53111cc69f40385038b4897740,FIRE HYDRANT,47
2f9310d03413c9137c0dc483a3bd8024,MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER,12;36
11cf121a7d7cf097f34477cb153e5a4e,UNKNOWN,9
f6d27b14f78c7be7244d9a3804364a2c,MAIL BOX;SHRUBBERY;Ran Off Road-Right,40;41;63
1294720994a06c738abdb7ebc0311e38,CULVERT;DITCH;Ran Off Road-Right,32;34;63
fc9254f286e926cf073a767e9245d7db,GUARDRAIL END;Ran Off Road-Left;Cross Median;EMBANKMENT EARTH,25;64;65;71
7252121dc3776b19af5645cdfca39987,MOTOR VEHICLE IN TRANSPORT;BUILDING;OTHER FIXED OBJECTS,12;19;43
c3918f50165f8a6100a34447ac6ae54a,EMBANKMENT ROCK/STONE/CONCRETE,72
ca115d20f5b3cd8b6b55041e385b2d2e,CONCRETE TRAFFIC BARRIER;EMBANKMENT ROCK/STONE/CONCRETE,36;72
6aaa6e8e15efcffc592c3915e2b01c0e,CONCRETE TRAFFIC BARRIER;Ran Off Road-Right,36;63
3ce5ad221848cd71647e15f9e8eb4e2d,EMBANKMENT EARTH,71
f2c4e4eadf4bc0674ddfa540fd2a004b,MOTOR VEHICLE IN TRANSPORT;SNOW BANK,12;48
a36bfe1eaa66afd486b9dc08116db0ff,OTHER OBJECT (NOT FIXED);Ran Off Road-Right,18;63
b3dcadcb549255e368055d09c4409554,SHRUBBERY,41
c6a02a9a88d9bf8f14060dfad556973e,PARKED MOTOR VEHICLE;Set In Motion By Motor Vehicle,14;54
c319d0d516f0971c4efceab15ce34e0a,Ran Off Road-Left;Cross Center Line;EMBANKMENT ROCK/STONE/CONCRETE,64;68;72
c691132bfdf43a5ce0a1705ae21c370a,LUMINAIRE/LIGHT SUPPORT;SHRUBBERY,29;41
