WEATHER_SK,WEATHER_DESCRIPTION,ILLUMINATION_DESCRIPTION
b1cc7e51e6caa7a51d39bb031d2f69a0,NO ADVERSE CONDITIONS,UNKNOWN
85202cc57cf9dddf438c664484444ec8,CLEAR,DAYLIGHT
24cb87e341e654f0aa476a504df72e33,CLEAR,DARK - LIGHTED
75b80da99898ec2cb944a820d147d703,CLOUDY,DARK - LIGHTED
d8a31c3fe30581da19d3cf799b572128,CLEAR,DARK - NOT LIGHTED
80c42cdba55d859e15482e351bdf3147,UNKNOWN,UNKNOWN
0d35ab107a4331446cde341de5e55c01,CLEAR,DUSK
d07c47780015cf53548a88d4f4ec321c,SEVERE CROSSWIND,DAYLIGHT
ce03f783bdcc5ef1d11b17eca7a2bb38,RAIN,DARK - LIGHTED
49309cd92e142117e8e27ac841a1dcbc,CLEAR,UNKNOWN
2fc689a5311a107429452ef475a6d84a,CLOUDY,DARK - NOT LIGHTED
3fa502ec6fd5ae34b4e1b6d9ae3ba927,UNKNOWN,DAYLIGHT
6ce6eee4caaa51c023e3ef875de5315c,CLEAR,DAWN
e80a23103e3259e7a527fff3d546dbff,CLOUDY,UNKNOWN
ed9c2e8cacc46f9c109f70bc6748616f,FOG,DAYLIGHT
0feab1f88e7940aaf93efb469543065c,UNKNOWN,DARK - NOT LIGHTED
3cfcac65e10488a67583abf17cdd63d1,CLOUDY,DUSK
e0e213ae966b782f83a19119f8c4fa46,RAIN,UNKNOWN
3b82657da7e319bc4e7d374feb8c61f8,FOG,DARK - LIGHTED
b46d734db9695d2b1c8bfc7c60b17398,FOG,DARK - NOT LIGHTED
40b2fff3b7b7b020bbe74f48a5d2a87d,RAIN,DAWN
4df3177e82d708eb64d0e771918e8ba9,CLOUDY,DAWN
97492a805dbb445ae62196d4e2e52951,RAIN,DAYLIGHT
fce69a144b7cb225726981ab7cc55449,BLOWING SNOW,DARK - LIGHTED
6697d5cd39371cda668e175955fceb63,SNOW,DAWN
06a1e20709237e7d2d4833d3c3701ef9,OTHER (NARRATIVE),DUSK
c38f737752abdeaabd28ecfcdafdb745,OTHER (NARRATIVE),DARK - LIGHTED
0e792b380a8fb2f6b3e090fcc8791b99,RAIN,OTHER
7962ce648c5bccb6d03c02a6eefc7171,SLEET; HAIL,DARK - NOT LIGHTED
230eaf1c2815fe13ad43f2308220fa95,OTHER (NARRATIVE),DARK - NOT LIGHTED
b29d20df63ad8f9f048caf0550e7892e,UNKNOWN,DARK - LIGHTED
490882a345fc45025c6d71b49d11a7bf,BLOWING SNOW,DAYLIGHT
d748ffe96d08b308b4d0d2359aa34a1b,CLOUDY,Dark-Unknown Lighting
